ID,Name,"Name (Smith & Trzaskoma)","Name (transliteration)","Name (Latinized)","Name in Latin texts","Alternative names","Identifying information","Type of entity","Type of entity ID","Agent/Coll.: gender","Agent/Coll.: gender ID","Collective (geneal.): children of","Collective (geneal.): children of ID","Collective (geneal.): divine father","Collective (geneal.): divine father ID"
8182066,"Aiacos (son of Zeus and Aigina)",Aiacos,,,,,"son of Zeus and Aigina",Agent,8160370,Male,9494774,,,,
8182067,"Aias Ajax (son of Telamon, Greek leader at Troy, 'the greater')",Aias,,,Ajax,,"son of Telamon, Greek leader at Troy, 'the greater'",Agent,8160370,Male,9494774,,,,
8182068,"Aias Ajax (son of Oileus, Greek leader at Troy, 'the lesser', Locrian)",Aias,,,Ajax,,"son of Oileus, Greek leader at Troy, 'the lesser', Locrian",Agent,8160370,Male,9494774,,,,
8182069,"Aietes (king of Colchis)",Aietes,,,,,"king of Colchis",Agent,8160370,Male,9494774,,,,
8182070,"Aigaion (son of Lycaon)",Aigaion,,,,,"son of Lycaon",Agent,8160370,Male,9494774,,,,
8182071,"Aigeoneus (son of Priam)",Aigeoneus,,,,,"son of Priam",Agent,8160370,Male,9494774,,,,
8182072,"Aigeus (king of Athens)",Aigeus,,,,,"king of Athens",Agent,8160370,Male,9494774,,,,
8182073,"Aigialeia (daughter of Adrastos)",Aigialeia,,,,,"daughter of Adrastos",Agent,8160370,Female,9494773,,,,
8182075,"Aigialeus (son of Inachos)",Aigialeus,,,,,"son of Inachos",Agent,8160370,Male,9494774,,,,
8182076,"Aigimios (Dorian king)",Aigimios,,,,,"Dorian king",Agent,8160370,Male,9494774,,,,
8182077,"Aigina (mother of Aiacos)",Aigina,,,,,"mother of Aiacos",Agent,8160370,Female,9494773,,,,
8182078,"Aigios (son of Aigyptos)",Aigios,,,,,"son of Aigyptos",Agent,8160370,Male,9494774,,,,
8182079,"Aigipan (a she-goat)",Aigipan,,,,,"a she-goat",Agent,8160370,Female,9494773,,,,
8182080,"Aigisthos (son of Thyestes)",Aigisthos,,,,,"son of Thyestes",Agent,8160370,Male,9494774,,,,
8182081,"Aigle (one of the Hesperides)",Aigle,,,,,"one of the Hesperides",Agent,8160370,Female,9494773,,,,
8182082,"Aigleis (daughter of Hyacinthos)",Aigleis,,,,,"daughter of Hyacinthos",Agent,8160370,Female,9494773,,,,
8182084,"Aineias (son of Aphrodite and Anchises)",Aineias,,,,,"son of Aphrodite and Anchises",Agent,8160370,Male,9494774,,,,
8182086,"Aiolia (daughter of Amythaon)",Aiolia,,,,,"daughter of Amythaon",Agent,8160370,Female,9494773,,,,
8182087,"Aiolos (king of the island of Aiolia, controls the winds)",Aiolos,,,,,"king of the island of Aiolia, controls the winds",Agent,8160370,Male,9494774,,,,
8182088,"Aiolos (eponym of the Aiolians)",Aiolos,,,,,"eponym of the Aiolians",Agent,8160370,Male,9494774,,,,
8182089,"Aipytos (son of Cresphontes)",Aipytos,,,,,"son of Cresphontes",Agent,8160370,Male,9494774,,,,
8182090,"Aisacos (son of Priam)",Aisacos,,,,,"son of Priam",Agent,8160370,Male,9494774,,,,
8182091,"Aischreis (daughter of Thespios)",Aischreis,,,,,"daughter of Thespios",Agent,8160370,Female,9494773,,,,
8182092,"Aison (son of Cretheus, father of Jason)",Aison,,,,,"son of Cretheus, father of Jason",Agent,8160370,Male,9494774,,,,
8182093,"Aithousa (daughter of Alcyone)",Aithousa,,,,,"daughter of Alcyone",Agent,8160370,Female,9494773,,,,
8182094,"Aithra (daughter of Pittheus, mother of Theseus)",Aithra,,,,,"daughter of Pittheus, mother of Theseus",Agent,8160370,Female,9494773,,,,
8182095,"Aithylla (daughter of Laomedon)",Aithylla,,,,,"daughter of Laomedon",Agent,8160370,Female,9494773,,,,
8182096,"Aitolos (eponym of the Aitolians)",Aitolos,,,,,"eponym of the Aitolians",Agent,8160370,Male,9494774,,,,
8182097,"Alastor (son of Neleus)",Alastor,,,,,"son of Neleus",Agent,8160370,Male,9494774,,,,
8182098,"Alcaios (son of Perseus)",Alcaios,,,,,"son of Perseus",Agent,8160370,Male,9494774,,,,
8182099,"Alcaios (son of Androgeos)",Alcaios,,,,,"son of Androgeos",Agent,8160370,Male,9494774,,,,
8182100,"Alcarops (suitor of Penelope)",Alcarops,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182101,"Alcathoos (son of Porthaon)",Alcathoos,,,,,"son of Porthaon",Agent,8160370,Male,9494774,,,,
8182102,"Alcathous (son of Pelops)",Alcathous,,,,,"son of Pelops",Agent,8160370,Male,9494774,,,,
8182103,"Alceides (Heracles' original name)",Alceides,,,,,"Heracles' original name",Agent,8160370,Male,9494774,,,,
8182104,"Alces (son of Aigyptos)",Alces,,,,,"son of Aigyptos",Agent,8160370,Male,9494774,,,,
8182105,"Alcestis (daughter of Pelias, wife of Admetos)",Alcestis,,,,,"daughter of Pelias, wife of Admetos",Agent,8160370,Female,9494773,,,,
8182106,"Alcidice (wife of Salmoneus)",Alcidice,,,,,"wife of Salmoneus",Agent,8160370,Female,9494773,,,,
8182107,"Alcimenes (brother of Bellerophontes)",Alcimenes,,,,,"brother of Bellerophontes",Agent,8160370,Male,9494774,,,,
8182108,"Alcinoos (king of the Phaiacians)",Alcinoos,,,,,"king of the Phaiacians",Agent,8160370,Male,9494774,,,,
8182109,"Alcinous (son of Hippocoon)",Alcinous,,,,,"son of Hippocoon",Agent,8160370,Male,9494774,,,,
8182110,"Alcippe (daughter of Ares)",Alcippe,,,,,"daughter of Ares",Agent,8160370,Female,9494773,,,,
8182111,"Alcmaion (one of the Epigonoi)",Alcmaion,,,,,"one of the Epigonoi",Agent,8160370,Male,9494774,,,,
8182112,"Alcmene (mother of Heracles)",Alcmene,,,,,"mother of Heracles",Agent,8160370,Female,9494773,,,,
8182113,"Alcmenor (son of Aigyptos)",Alcmenor,,,,,"son of Aigyptos",Agent,8160370,Male,9494774,,,,
8182114,"Alcon (Calydonian boar hunter)",Alcon,,,,,"Calydonian boar hunter",Agent,8160370,Male,9494774,,,,
8182115,"Alcyone (one of the Pleiades)",Alcyone,,,,,"one of the Pleiades",Agent,8160370,Female,9494773,,,,
8182116,"Alcyone (daughter of Aiolos)",Alcyone,,,,,"daughter of Aiolos",Agent,8160370,Female,9494773,,,,
8182117,"Alcyone (daughter of Sthenelos)",Alcyone,,,,,"daughter of Sthenelos",Agent,8160370,Female,9494773,,,,
8182118,"Alcyone (mother of Elephenor)",Alcyone,,,,,"mother of Elephenor",Agent,8160370,Female,9494773,,,,
8182119,"Alcyoneus (giant)",Alcyoneus,,,,,giant,Agent,8160370,Male,9494774,,,,
8182120,"Alecto (Erinys)",Alecto,,,,,Erinys,Agent,8160370,Female,9494773,,,,
8182121,"Alector (father of Leitos and Iphis)",Alector,,,,,"father of Leitos and Iphis",Agent,8160370,Male,9494774,,,,
8182122,"Aleos (father of Cepheus and Auge)",Aleos,,,,,"father of Cepheus and Auge",Agent,8160370,Male,9494774,,,,
8182123,"Aletes (son of Icarios)",Aletes,,,,,"son of Icarios",Agent,8160370,Male,9494774,,,,
8182124,"Alexander Paris (Trojan hero)",Alexander,,,,Paris,"Trojan hero",Agent,8160370,Male,9494774,,,,
8182125,"Alexandros (son of Eurystheus)",Alexandros,,,,,"son of Eurystheus",Agent,8160370,Male,9494774,,,,
8182126,"Alexiares (son of Heracles and Hebe)",Alexiares,,,,,"son of Heracles and Hebe",Agent,8160370,Male,9494774,,,,
8182127,"Aloadai (Otos and Ephialtes, sons of Poseidon by Aloeus' wife Iphimedeia)",Aloadai,,,,,"Otos and Ephialtes, sons of Poseidon by Aloeus' wife Iphimedeia",Agent,8160370,Male,9494774,,,,
8182128,"Aloeus (son of Poseidon)",Aloeus,,,,,"son of Poseidon",Agent,8160370,Male,9494774,,,,
8182129,"Alopios (son of Heracles)",Alopios,,,,,"son of Heracles",Agent,8160370,Male,9494774,,,,
8182130,"Alphesiboia (wife of Phoinix)",Alphesiboia,,,,,"wife of Phoinix",Agent,8160370,Female,9494773,,,,
8182131,"Althaia (daughter of Thestios, mother of Meleagros)",Althaia,,,,,"daughter of Thestios, mother of Meleagros",Agent,8160370,Female,9494773,,,,
8182132,"Althaimenes (son of Catreus)",Althaimenes,,,,,"son of Catreus",Agent,8160370,Male,9494774,,,,
8182133,"Amaltheia (Nurse of Zeus)",Amaltheia,,,,,"Nurse of Zeus",Agent,8160370,Female,9494773,,,,
8182134,"Amaltheia (owner of magical horn)",Amaltheia,,,,,"owner of magical horn",Agent,8160370,Female,9494773,,,,
8182135,"Amarynceus (father of Hippostratos)",Amarynceus,,,,,"father of Hippostratos",Agent,8160370,Male,9494774,,,,
8182136,"Amarynthos (one of Actaion's dogs)",Amarynthos,,,,,"one of Actaion's dogs",Agent,8160370,Male,9494774,,,,
8182137,"Amestrios (son of Heracles)",Amestrios,,,,,"son of Heracles",Agent,8160370,Male,9494774,,,,
8182138,"Amisodaros (raises the Chimaira)",Amisodaros,,,,,"raises the Chimaira",Agent,8160370,Male,9494774,,,,
8182139,"Ammon (Egyptian god identified by the Greeks with Zeus)",Ammon,,,,,"Egyptian god identified by the Greeks with Zeus",Agent,8160370,Male,9494774,,,,
8182140,"Amphialos (suitor of Penelope)",Amphialos,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182141,"Amphianax (king of Lycia)",Amphianax,,,,,"king of Lycia",Agent,8160370,Male,9494774,,,,
8182142,"Amphiaraos Amphiaraus (seer, Calydonian boar hunter, Argonaut, one of the Seven against Thebes)",Amphiaraos,,Amphiaraus,,,"seer, Calydonian boar hunter, Argonaut, one of the Seven against Thebes",Agent,8160370,Male,9494774,,,,
8182143,"Amphictyon (son of Deucalion)",Amphictyon,,,,,"son of Deucalion",Agent,8160370,Male,9494774,,,,
8182144,"Amphidamas (son of Bousiris)",Amphidamas,,,,,"son of Bousiris",Agent,8160370,Male,9494774,,,,
8182145,"Amphidamas (son of Lycourgos)",Amphidamas,,,,,"son of Lycourgos",Agent,8160370,Male,9494774,,,,
8182146,"Amphidamas (father of Cleitonymos)",Amphidamas,,,,,"father of Cleitonymos",Agent,8160370,Male,9494774,,,,
8182147,"Amphidicos (son of Astacos)",Amphidicos,,,,,"son of Astacos",Agent,8160370,Male,9494774,,,,
8182148,"Amphilochos (one of the Epigonoi)",Amphilochos,,,,,"one of the Epigonoi",Agent,8160370,Male,9494774,,,,
8182149,"Amphilochos (son of Alcmaion)",Amphilochos,,,,,"son of Alcmaion",Agent,8160370,Male,9494774,,,,
8182150,"Amphimachos (Greek leader at Troy)",Amphimachos,,,,,"Greek leader at Troy",Agent,8160370,Male,9494774,,,,
8182151,"Amphimachos (son of Electryon)",Amphimachos,,,,,"son of Electryon",Agent,8160370,Male,9494774,,,,
8182152,"Amphimachos (Trojan ally)",Amphimachos,,,,,"Trojan ally",Agent,8160370,Male,9494774,,,,
8182153,"Amphimachos (suitor of Penelope, from Doulichion)",Amphimachos,,,,,"suitor of Penelope, from Doulichion",Agent,8160370,Male,9494774,,,,
8182154,"Amphimachos (suitor of Penelope, from Ithaca)",Amphimachos,,,,,"suitor of Penelope, from Ithaca",Agent,8160370,Male,9494774,,,,
8182155,"Amphimedon (suitor of Penelope)",Amphimedon,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182156,"Amphinomos (suitor of Penelope)",Amphinomos,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182157,"Amphion (son of Zeus and Antiope, husband of Niobe)",Amphion,,,,,"son of Zeus and Antiope, husband of Niobe",Agent,8160370,Male,9494774,,,,
8182158,"Amphios (son of Merops)",Amphios,,,,,"son of Merops",Agent,8160370,Male,9494774,,,,
8182159,"Amphithea (daughter of Pronax)",Amphithea,,,,,"daughter of Pronax",Agent,8160370,Female,9494773,,,,
8182160,"Amphithea (wife of Lycourgos)",Amphithea,,,,,"wife of Lycourgos",Agent,8160370,Female,9494773,,,,
8182161,"Amphitrite (Oceanid, wife of Poseidon)",Amphitrite,,,,,"Oceanid, wife of Poseidon",Agent,8160370,Female,9494773,,,,
8182162,"Amphitrite (Nereid)",Amphitrite,,,,,Nereid,Agent,8160370,Female,9494773,,,,
8182163,"Amphitryon (mortal father of Heracles)",Amphitryon,,,,,"mortal father of Heracles",Agent,8160370,Male,9494774,,,,
8182164,"Amphoteros (son of Alcmaion)",Amphoteros,,,,,"son of Alcmaion",Agent,8160370,Male,9494774,,,,
8182165,"Amyclas (son of Lacedaimon)",Amyclas,,,,,"son of Lacedaimon",Agent,8160370,Male,9494774,,,,
8182166,"Amyclas (son of Amphion and Niobe)",Amyclas,,,,,"son of Amphion and Niobe",Agent,8160370,Male,9494774,,,,
8182167,"Amycos (son of Poseidon)",Amycos,,,,,"son of Poseidon",Agent,8160370,Male,9494774,,,,
8182168,"Amymone (Danaid, mother of Nauplios)",Amymone,,,,,"Danaid, mother of Nauplios",Agent,8160370,Female,9494773,,,,
8182169,"Amyntor (king of Ormenion)",Amyntor,,,,,"king of Ormenion",Agent,8160370,Male,9494774,,,,
8182170,"Amythaon (son of Cretheus, father of Bias and Melampous)",Amythaon,,,,,"son of Cretheus, father of Bias and Melampous",Agent,8160370,Male,9494774,,,,
8182171,"Anactor (son of Electryon)",Anactor,,,,,"son of Electryon",Agent,8160370,Male,9494774,,,,
8182172,"Anaxibia (daughter of Bias, wife of Pelias)",Anaxibia,,,,,"daughter of Bias, wife of Pelias",Agent,8160370,Female,9494773,,,,
8182173,"Anaxibia (daughter of Cratieus, wife of Nestor)",Anaxibia,,,,,"daughter of Cratieus, wife of Nestor",Agent,8160370,Female,9494773,,,,
8182174,"Anaxibia (Danaid)",Anaxibia,,,,,Danaid,Agent,8160370,Female,9494773,,,,
8182175,"Anaxo (daughter of Alcaios, wife of Electryon)",Anaxo,,,,,"daughter of Alcaios, wife of Electryon",Agent,8160370,Female,9494773,,,,
8182176,"Ancaios (Calydonian boar hunter, Argonaut)",Ancaios,,,,,"Calydonian boar hunter, Argonaut",Agent,8160370,Male,9494774,,,,
8182177,"Anchinoe (daughter of Nile)",Anchinoe,,,,,"daughter of Nile",Agent,8160370,Female,9494773,,,,
8182178,"Anchios (Centaur)",Anchios,,,,,Centaur,Agent,8160370,Male,9494774,,,,
8182179,"Anchises (son of Capys)",Anchises,,,,,"son of Capys",Agent,8160370,Male,9494774,,,,
8182180,"Ancyor (son of Lycaon)",Ancyor,,,,,"son of Lycaon",Agent,8160370,Male,9494774,,,,
8182181,"Andraimon (father of Thoas)",Andraimon,,,,,"father of Thoas",Agent,8160370,Male,9494774,,,,
8182182,"Andraimon (suitor of Penelope)",Andraimon,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182183,"Andraimon (father of Oxylos)",Andraimon,,,,,"father of Oxylos",Agent,8160370,Male,9494774,,,,
8182184,"Andrastos (one of the Seven against Thebes)",Andrastos,,,,,"one of the Seven against Thebes",Agent,8160370,Male,9494774,,,,
8182185,"Andrastos (son of Merops)",Andrastos,,,,,"son of Merops",Agent,8160370,Male,9494774,,,,
8182186,"Andrastos (father of Eurydice)",Andrastos,,,,,"father of Eurydice",Agent,8160370,Male,9494774,,,,
8182187,"Androgeos (son of Minos)",Androgeos,,,,,"son of Minos",Agent,8160370,Male,9494774,,,,
8182188,"Andromache (daughter of Eetion)",Andromache,,,,,"daughter of Eetion",Agent,8160370,Female,9494773,,,,
8182189,"Andromeda (wife of Perseus)",Andromeda,,,,,"wife of Perseus",Agent,8160370,Female,9494773,,,,
8182190,"Andromedes (suitor of Penelope)",Andromedes,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182191,"Anicetos (son of Heracles and Hebe)",Anicetos,,,,,"son of Heracles and Hebe",Agent,8160370,Male,9494774,,,,
8182192,"Anios (son of Apollo)",Anios,,,,,"son of Apollo",Agent,8160370,Male,9494774,,,,
8182193,"Anogon (son of Castor)",Anogon,,,,,"son of Castor",Agent,8160370,Male,9494774,,,,
8182194,"Antaios (son of Poseidon)",Antaios,,,,,"son of Poseidon",Agent,8160370,Male,9494774,,,,
8182195,"Anteia (daughter of Iobates, wife of Proitos)",Anteia,,,,,"daughter of Iobates, wife of Proitos",Agent,8160370,Female,9494773,,,,
8182196,"Antenor (prominent Trojan)",Antenor,,,,,"prominent Trojan",Agent,8160370,Male,9494774,,,,
8182197,"Antenor (suitor of Penelope)",Antenor,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182198,"Antheia (daughter of Thespios)",Antheia,,,,,"daughter of Thespios",Agent,8160370,Female,9494773,,,,
8182199,"Antheis (daughter of Hyacinthos)",Antheis,,,,,"daughter of Hyacinthos",Agent,8160370,Female,9494773,,,,
8182200,"Antheleia (Danaid)",Antheleia,,,,,Danaid,Agent,8160370,Female,9494773,,,,
8182201,"Anthippe (daughter of Thespios)",Anthippe,,,,,"daughter of Thespios",Agent,8160370,Female,9494773,,,,
8182202,"Antiades (son of Heracles)",Antiades,,,,,"son of Heracles",Agent,8160370,Male,9494774,,,,
8182203,"Anticleia (mother of Odysseus)",Anticleia,,,,,"mother of Odysseus",Agent,8160370,Female,9494773,,,,
8182204,"Anticleia (mother of Periphetes)",Anticleia,,,,,"mother of Periphetes",Agent,8160370,Female,9494773,,,,
8182205,"Anticlos (Greek warrior at Troy)",Anticlos,,,,,"Greek warrior at Troy",Agent,8160370,Male,9494774,,,,
8182206,"Antigone (daughter of Oidipous)",Antigone,,,,,"daughter of Oidipous",Agent,8160370,Female,9494773,,,,
8182207,"Antigone (daughter of Eurytion)",Antigone,,,,,"daughter of Eurytion",Agent,8160370,Female,9494773,,,,
8182208,"Antigonos (suitor of Penelope)",Antigonos,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182209,"Antileon (son of Heracles)",Antileon,,,,,"son of Heracles",Agent,8160370,Male,9494774,,,,
8182210,"Antilochos (son of Nestor)",Antilochos,,,,,"son of Nestor",Agent,8160370,Male,9494774,,,,
8182211,"Antimache (daughter of Amphidamas)",Antimache,,,,,"daughter of Amphidamas",Agent,8160370,Female,9494773,,,,
8182212,"Antimachos (son of Heracles)",Antimachos,,,,,"son of Heracles",Agent,8160370,Male,9494774,,,,
8182213,"Antimachos (suitor of Penelope)",Antimachos,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182214,"Antinoos (suitor of Penelope)",Antinoos,,,,,"suitor of Penelope",Agent,8160370,Male,9494774,,,,
8182215,"Antiochos (son of Heracles)",Antiochos,,,,,"son of Heracles",Agent,8160370,Male,9494774,,,,
8182216,"Antiochos (son of Melas)",Antiochos,,,,,"son of Melas",Agent,8160370,Male,9494774,,,,
8182217,"Antiochos (son of Pterelaos)",Antiochos,,,,,"son of Pterelaos",Agent,8160370,Male,9494774,,,,
8182218,"Antiope (daughter of Nycteus, mother of Zethos and Amphion)",Antiope,,,,,"daughter of Nycteus, mother of Zethos and Amphion",Agent,8160370,Female,9494773,,,,
8182219,"Antiope (daughter of Thespios)",Antiope,,,,,"daughter of Thespios",Agent,8160370,Female,9494773,,,,
8182220,"Antiphates (king of Laistrygonians)",Antiphates,,,,,"king of Laistrygonians",Agent,8160370,Male,9494774,,,,
8182221,"Antiphos (Greek leader at Troy)",Antiphos,,,,,"Greek leader at Troy",Agent,8160370,Male,9494774,,,,
8182222,"Antiphos (son of Myrmidon)",Antiphos,,,,,"son of Myrmidon",Agent,8160370,Male,9494774,,,,
8182223,"Antiphos (son of Heracles)",Antiphos,,,,,"son of Heracles",Agent,8160370,Male,9494774,,,,
8182224,"Antiphos (son of Priam and Hecabe)",Antiphos,,,,,"son of Priam and Hecabe",Agent,8160370,Male,9494774,,,,
8182225,"Antiphos (son of Talaimenes)",Antiphos,,,,,"son of Talaimenes",Agent,8160370,Male,9494774,,,,
